player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
Antonella Serra Zanetti,201321,24/04/1995 00:00,12/05/2008 00:00,517,201321,FALSE,
Antonello Macedo,234441,23/10/1989 00:00,03/12/1990 00:00,5,234441,FALSE,
Antonia Aposteanu,208156,12/08/2002 00:00,07/07/2008 00:00,6,208156,FALSE,
Antonia Aragosa,222147,20/05/2019 00:00,21/11/2022 00:00,28,222147,FALSE,
Antonia Balzert,216333,17/10/2016 00:00,27/05/2019 00:00,4,216333,FALSE,
Antonia Eleni Bazou,239128,17/05/2021 00:00,15/11/2021 00:00,4,239128,FALSE,
Antonia Fohse,209145,31/10/2005 00:00,31/10/2005 00:00,1,209145,FALSE,
Antonia Homolya,213077,27/06/1988 00:00,18/10/1993 00:00,72,213077,FALSE,
Antonia Kolovou,209109,26/09/2005 00:00,26/09/2005 00:00,1,209109,FALSE,
Antonia Lottner,204430,23/08/2010 00:00,25/07/2022 00:00,325,204430,FALSE,
Antonia Markuskova,211324,15/08/2011 00:00,15/08/2011 00:00,1,211324,FALSE,
Antonia Matic,202335,18/10/1999 00:00,21/04/2008 00:00,274,202335,FALSE,
Antonia Roessli,260588,22/08/2022 00:00,22/08/2022 00:00,1,260588,FALSE,
Antonia Ruzic,222045,06/05/2019 00:00,12/09/2022 00:00,111,222045,FALSE,
Antonia Sakic,218294,02/09/2013 00:00,02/09/2013 00:00,1,218294,FALSE,
Antonia Samudio,221501,03/12/2018 00:00,05/12/2022 00:00,84,221501,FALSE,
Antonia Schmidt,220513,26/06/2017 00:00,14/11/2022 00:00,143,220513,FALSE,
