player_name,player_id,min_tourn_date,max_tourn_date,total_matches,Flag
 Cingan,231293,19/09/1983 00:00,19/09/1983 00:00,1,0
 Collins,226621,05/05/1973 00:00,05/05/1973 00:00,1,0
 Contarini,229451,07/05/1980 00:00,07/05/1980 00:00,1,0
 Cooper,229392,31/03/1980 00:00,31/03/1980 00:00,1,0
 Cornish,228118,26/02/1968 00:00,26/02/1968 00:00,1,0
 Cupers,229698,10/11/1980 00:00,10/11/1980 00:00,1,0
 Daksa,224815,04/08/1977 00:00,04/08/1977 00:00,1,0
 Davis,225800,21/04/1975 00:00,21/04/1975 00:00,1,0
 Dawson,230224,25/05/1981 00:00,25/05/1981 00:00,1,0
 De Groot,229700,10/11/1980 00:00,10/11/1980 00:00,1,0
